schema_version	evaluation_id	case_id	annotation_profile_id	mechanism_id	primitive_id	status	eligible_for_later_visualization	terminal_reason_code	terminal_reason_details
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-increase-v1	g2_101_colorectal_tumor_increase_92bc8db15a	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-increase-v1	g2_102_colorectal_tumor_increase_f9c512abf3	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-increase-v1	g2_103_colorectal_tumor_increase_761cca0541	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_nuclei_mask_authority:source_digest_not_frozen|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_digest_not_frozen
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-increase-v1	g2_104_colorectal_tumor_increase_74de4f2d0f	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_nuclei_mask_authority:source_digest_not_frozen|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_digest_not_frozen
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-increase-v1	g2_105_colorectal_tumor_increase_cd730a57be	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_nuclei_mask_authority:source_digest_not_frozen|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_digest_not_frozen
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-decrease-v1	g2_101_colorectal_tumor_increase_92bc8db15a	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-decrease-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-decrease-v1	g2_102_colorectal_tumor_increase_f9c512abf3	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-decrease-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-decrease-v1	g2_103_colorectal_tumor_increase_761cca0541	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-decrease-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_nuclei_mask_authority:source_digest_not_frozen|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_digest_not_frozen
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-decrease-v1	g2_104_colorectal_tumor_increase_74de4f2d0f	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-decrease-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_nuclei_mask_authority:source_digest_not_frozen|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_digest_not_frozen
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cell-type-abundance-decrease-v1	g2_105_colorectal_tumor_increase_cd730a57be	glas-gland-v1	colorectal-local-population-modulation	cell-type-abundance-decrease-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_nuclei_mask_authority:source_digest_not_frozen|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_digest_not_frozen
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cellularity-increase-v1	g2_101_colorectal_tumor_increase_92bc8db15a	glas-gland-v1	colorectal-local-population-modulation	cellularity-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable
p1-preflight-status-table-v1	glas-gland-v1::colorectal-local-population-modulation::cellularity-increase-v1	g2_102_colorectal_tumor_increase_f9c512abf3	glas-gland-v1	colorectal-local-population-modulation	cellularity-increase-v1	reject	false	frozen_source_authority_failed	execution_nuclei_mask_authority:source_asset_unavailable|execution_tissue_mask_authority:source_asset_unavailable|reader_side_only_never_execution_planner_input:source_asset_unavailable
